status	concept_doi	version_doi	note
drop_version	10.5281/zenodo.17716296	10.5281/zenodo.17716297	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14726535	10.5281/zenodo.14726536	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17486792	10.5281/zenodo.17486793	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11579272	10.5281/zenodo.11579273	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14177706	10.5281/zenodo.14177707	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15847437	10.5281/zenodo.15847438	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14008648	10.5281/zenodo.17077902	HasVersion + IsVersionOf match; dropping version DOI
missing_version_record	10.5281/zenodo.14008648	10.5281/zenodo.14008649	HasVersion points to DOI not present in datasets_dedup
drop_version	10.5281/zenodo.15357126	10.5281/zenodo.15357127	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14795217	10.5281/zenodo.14893940	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14795217	10.5281/zenodo.14795218	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16901708	10.5281/zenodo.16901709	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16901708	10.5281/zenodo.17617977	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10637727	10.5281/zenodo.10637728	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10205093	10.5281/zenodo.10607174	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10205093	10.5281/zenodo.10205094	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14852788	10.5281/zenodo.14852789	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10051800	10.5281/zenodo.10051801	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10051800	10.5281/zenodo.10071370	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10051800	10.5281/zenodo.11001950	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10051800	10.5281/zenodo.10607644	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16098473	10.5281/zenodo.16098474	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17264463	10.5281/zenodo.17264555	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17264463	10.5281/zenodo.17264464	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10997313	10.5281/zenodo.14761152	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10997313	10.5281/zenodo.10997314	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10997313	10.5281/zenodo.14602572	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14045114	10.5281/zenodo.16839417	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14045114	10.5281/zenodo.14045115	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17512978	10.5281/zenodo.17512979	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17650419	10.5281/zenodo.17650420	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17602012	10.5281/zenodo.17602013	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14846712	10.5281/zenodo.14846713	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15752301	10.5281/zenodo.15752302	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.10855065	10.5281/zenodo.10855066	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17072353	10.5281/zenodo.17072354	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17365445	10.5281/zenodo.17365446	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15148998	10.5281/zenodo.15148999	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.14253992	10.5281/zenodo.14253993	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16738721	10.5281/zenodo.16738722	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15267636	10.5281/zenodo.17062480	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15267636	10.5281/zenodo.15267637	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15267636	10.5281/zenodo.17062241	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15267636	10.5281/zenodo.17122148	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15533855	10.5281/zenodo.15533856	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.16811412	10.5281/zenodo.16811413	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15386114	10.5281/zenodo.15386115	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.15357198	10.5281/zenodo.15357199	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.17140702	10.5281/zenodo.17140703	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.11218526	10.5281/zenodo.11218527	HasVersion + IsVersionOf match; dropping version DOI
drop_version	10.5281/zenodo.12579439	10.5281/zenodo.13739867	HasVersion + IsVersionOf match; dropping version DOI
missing_version_record	10.5281/zenodo.12579439	10.5281/zenodo.12579440	HasVersion points to DOI not present in datasets_dedup
drop_version	10.5281/zenodo.17251832	10.5281/zenodo.17251833	HasVersion + IsVersionOf match; dropping version DOI
